Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,21,20,13,5,700,625,24.31875,95183,538.60114
2015,1,21,20,13,46,707,634,24.549999,95178,538.95251
2015,1,21,20,14,23,704,631,24.88125,95174,538.68829
2015,1,21,20,15,29,709,629,25.262501,95170,538.95251
2015,1,21,20,15,57,704,620,25.487499,95172,539.47571
2015,1,21,20,16,22,646,622,25.725,95186,539.21411
2015,1,21,20,16,47,707,627,26,95174,539.91431
2015,1,21,20,21,30,605,602,27.50625,95161,540.6145
2015,1,21,20,21,58,492,597,27.606251,95158,540.00153
2015,1,21,20,22,33,682,601,27.799999,95164,540.70172
2015,1,21,20,23,11,690,602,28.00625,95166,540.52734
2015,1,21,20,24,18,695,600,28.34375,95159,540.08868
2015,1,22,13,45,55,562,521,22.85,95302,528.88812
2015,1,22,15,9,58,541,495,27.0375,95128,543.50519
2015,1,22,15,10,34,523,516,27.174999,95129,543.33081
2015,1,22,15,11,0,428,503,27.2875,95122,543.67957
2015,1,22,15,25,4,180,404,27.4375,95110,544.7312
2015,1,22,15,25,33,625,518,27.456249,95107,545.08258
2015,1,22,15,26,6,632,503,27.5625,95116,544.81836
2015,1,22,15,39,58,664,561,27.6875,95114,545.34418
2015,1,22,15,40,28,516,491,27.737499,95113,545.1698
2015,1,22,15,40,55,656,523,27.8125,95108,545.34418
2015,1,22,15,55,1,663,539,27.950001,95099,546.04437
2015,1,22,15,55,28,449,560,27.987499,95112,545.78284
2015,1,22,15,55,54,653,462,28.06875,95104,545.1698
2015,1,22,16,9,58,678,523,28.19375,95098,545.78284
2015,1,22,16,10,24,569,596,28.237499,95097,546.57019
2015,1,22,16,10,52,659,548,28.35,95108,546.39581
2015,1,22,16,24,58,443,636,28.61875,95083,546.66003
2015,1,22,16,25,24,708,624,28.6625,95079,546.92163
2015,1,22,16,25,56,152,524,28.762501,95076,547.27307
2015,1,22,16,39,58,716,610,29.393749,95079,549.19928
2015,1,22,16,40,25,465,624,29.40625,95070,547.44745
2015,1,22,16,40,51,564,652,29.44375,95075,548.67346
2015,1,22,16,55,26,763,688,30.706249,95059,549.4635
2015,1,22,16,55,55,747,652,30.706249,95066,549.0249
2015,1,22,16,56,20,744,666,30.706249,95059,548.93768
2015,1,22,17,13,32,765,631,29.46875,95040,550.25092
2015,1,22,17,13,57,702,669,29.487499,95041,551.47955
2015,1,22,17,14,23,708,684,29.549999,95045,550.42792
2015,1,22,17,15,10,678,637,29.69375,95035,551.56677
2015,1,22,17,25,8,430,686,29.59375,95019,551.91815
2015,1,22,17,25,33,756,667,29.625,95030,552.17975
2015,1,22,17,26,1,751,687,29.7125,95023,552.44397
2015,1,22,17,40,19,746,693,29.65,95009,553.84705
2015,1,22,17,40,49,761,655,29.674999,95021,553.05701
2015,1,22,17,41,16,763,438,29.75,95009,554.46002
2015,1,22,17,55,12,517,673,29.38125,94996,554.72424
2015,1,22,17,55,38,693,699,29.4125,94997,554.81146
2015,1,22,17,56,7,691,704,29.49375,94995,555.25006
2015,1,22,17,57,21,770,707,29.7875,94996,555.07306
2015,1,22,18,10,17,589,700,29.71875,94976,555.95026
2015,1,22,18,10,42,629,444,29.74375,94976,556.65314
2015,1,22,18,11,25,764,703,29.81875,94973,556.47607
2015,1,22,18,25,2,755,665,29.46875,94971,556.82751
2015,1,22,18,25,27,756,692,29.487499,94967,557.26611
2015,1,22,18,25,55,590,652,29.549999,94970,556.3017
2015,1,22,18,40,2,572,690,29.00625,94969,557.35333
2015,1,22,18,40,28,691,689,29.05625,94965,557.61755
2015,1,22,18,40,54,741,691,29.125,94967,558.31775
2015,1,22,18,41,20,514,684,29.237499,94955,558.40759
2015,1,22,18,41,58,765,685,29.4,94964,557.70477
2015,1,22,18,55,37,726,686,29.112499,94960,559.28485
2015,1,22,18,56,1,754,658,29.143749,94961,558.31775
2015,1,22,18,56,25,772,691,29.18125,94939,560.0722
2015,1,22,18,57,1,773,689,29.3125,94959,558.58197
