Year,Month,Day,Hour,Minute,Second,Sens_556_nm,Sens_414_nm,Temperature_C,Pressure_Pa,Altitude_m
2015,1,21,20,14,35,634,648,25.137501,95242,533.26105
2015,1,21,20,15,3,633,648,25.293751,95249,533.26105
2015,1,21,20,15,36,624,643,25.512501,95246,532.82507
2015,1,21,20,16,3,642,648,25.725,95252,532.6507
2015,1,21,20,16,58,618,640,26.09375,95242,533.17389
2015,1,21,20,17,25,617,636,26.275,95237,533.34827
2015,1,21,20,17,49,620,642,26.43125,95246,533.34827
2015,1,21,20,18,13,621,644,26.625,95240,534.31268
2015,1,21,20,19,23,614,631,27.1,95244,533.78687
2015,1,21,20,19,48,606,631,27.275,95242,533.61249
2015,1,21,20,20,19,612,619,27.475,95227,533.9613
2015,1,21,20,54,50,492,444,27.86875,95223,535.1001
2015,1,21,20,55,18,492,435,27.93125,95215,535.62592
2015,1,21,20,55,45,492,443,27.99375,95216,535.71313
2015,1,22,15,0,29,508,494,26.93125,95204,537.81372
2015,1,22,15,0,58,513,496,27.081249,95194,536.93646
2015,1,22,15,1,24,514,498,27.237499,95201,536.8493
2015,1,22,15,9,45,524,523,27.80625,95198,537.81372
2015,1,22,15,10,14,514,519,27.84375,95184,538.4267
2015,1,22,15,10,38,514,529,27.90625,95194,538.51392
2015,1,22,15,24,43,542,563,27.856251,95175,539.47571
2015,1,22,15,25,9,543,563,27.875,95176,539.12695
2015,1,22,15,25,34,540,558,27.9375,95174,538.51392
2015,1,22,15,39,46,547,572,28.081249,95178,539.38849
2015,1,22,15,40,11,548,569,28.106251,95179,538.95251
2015,1,22,15,40,37,547,568,28.18125,95181,539.21411
2015,1,22,15,54,36,546,568,28.18125,95172,539.91431
2015,1,22,15,55,0,548,570,28.21875,95173,539.38849
2015,1,22,15,55,25,551,572,28.28125,95188,538.86267
2015,1,22,16,9,45,585,628,28.31875,95172,540.26575
2015,1,22,16,10,13,585,624,28.35,95171,539.65271
2015,1,22,16,10,41,582,622,28.4375,95173,539.30133
2015,1,22,16,24,34,597,637,28.637501,95152,541.22754
2015,1,22,16,25,2,595,648,28.69375,95143,542.01495
2015,1,22,16,25,29,595,645,28.7875,95142,541.57898
2015,1,22,16,39,52,608,668,28.84375,95133,542.36633
2015,1,22,16,40,18,609,668,28.88125,95138,542.45355
2015,1,22,16,40,42,608,662,28.93125,95137,542.80499
2015,1,22,16,55,6,629,698,28.90625,95131,543.76678
2015,1,22,16,55,30,623,687,28.93125,95131,543.33081
2015,1,22,16,55,53,623,679,28.96875,95129,543.33081
2015,1,22,17,11,33,633,701,28.799999,95103,545.34418
2015,1,22,17,11,58,632,697,28.86875,95113,544.20538
2015,1,22,17,12,22,636,707,28.9125,95105,545.1698
2015,1,22,17,24,51,638,709,29.05625,95099,546.13422
2015,1,22,17,25,14,634,711,29.0875,95100,545.95721
2015,1,22,17,25,37,639,706,29.15,95102,546.13422
2015,1,22,17,39,59,635,709,29.549999,95079,547.97327
2015,1,22,17,40,23,634,705,29.55625,95085,547.18585
2015,1,22,17,40,46,635,706,29.612499,95078,547.97327
2015,1,22,17,54,49,646,724,29.237499,95070,548.76331
